Learner - ID,Learner - Name,Learner - Type,Learning activity - ID,Learning activity - Title,Learning activity - Duration,Delivery Type,Learning Source Name,State,Age At Registration,User Registration Date,Completion Date,Learning Last Accessed Date,Source,Transcript status,Transcript Type,Learning Activity Status,Referrer Source,College,Percent complete,Learner Enrollment Date
900000,Demo Learner 01,Student,ACT2408,Course N,120,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-01-18T00:00:00Z,2026-01-18T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 3,0,17-01-2026
900000,Demo Learner 01,Student,ACT1968,Course S,10,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-01-30T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 19,100,17-01-2026
900000,Demo Learner 01,Student,ACT7499,Course B,30,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-02-04T00:00:00Z,2026-02-04T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 5,100,17-01-2026
900000,Demo Learner 01,Student,ACT3363,Course R,10,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-01-30T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 18,100,17-01-2026
900000,Demo Learner 01,Student,ACT4078,Course L,10,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-01-20T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 3,0,17-01-2026
900000,Demo Learner 01,Student,ACT4374,Course P,240,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-01-18T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 11,50,17-01-2026
900000,Demo Learner 01,Student,ACT8424,Course L,60,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-02-04T00:00:00Z,2026-02-04T00:00:00Z,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 6,100,17-01-2026
900000,Demo Learner 01,Student,ACT5919,Course Q,120,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-01-19T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 15,100,17-01-2026
900000,Demo Learner 01,Student,ACT2199,Course D,240,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-02-05T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 11,100,17-01-2026
900000,Demo Learner 01,Student,ACT7909,Course B,10,eLearning,IBM Learning Patterns,Karnataka - IN,Not Available,17-01-2026,2026-02-01T00:00:00Z,,SELFREG,Completed,Source Managed,Active in default YL search,Other,Demo College 19,100,17-01-2026
